run,cached,step,type,request_id,ip_addr,full_url,url,documentURL,is_secure,method,host,frame_id,responseCode,request_type,load_ms,ttfb_ms,load_start,load_start_float,bytesIn,objectSize,objectSizeUncompressed,expires,cacheControl,contentType,contentEncoding,socket,protocol,dns_start,dns_end,connect_start,connect_end,ssl_start,ssl_end,initiator,initiator_line,initiator_column,initiator_function,initiator_type,priority,initial_priority,bytesOut,score_cache,score_cdn,score_gzip,score_cookies,score_keep-alive,score_compress,dns_ms,connect_ms,ssl_ms,gzip_total,gzip_save,image_total,image_save,cache_time,cdn_provider,created,netlog_id,final_base_page,is_base_page,load_end,ttfb_start,ttfb_end,download_start,download_end,download_ms,all_start,all_end,all_ms,index,number,cpu.EvaluateScript,cpu.v8.compile,cpu.FunctionCall,cpuTime,renderBlocking,socket_group,http2_stream_id,http2_stream_dependency,http2_stream_weight,http2_stream_exclusive,tls_version,tls_resumed,tls_next_proto,tls_cipher_suite,server_port,
1,0,Step_1,3,9493C9658791A78DFEF81DAFA6CEB579,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/,/,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Document,515.00,510.00,136.00,136.00,2514,2514,10421,,s-maxage=31536000,text/html,gzip,144,HTTP/2,1.00,42.00,42.00,73.00,73.00,136.00,https://workspaceweb-toolify-production.up.railway.app/_next/static/chunks/turbopack-0r.ia7-wx7_ii.js,,,,script,Highest,Highest,2212,-1,100,100,0,100,-1,41.00,31.00,63.00,3072,0,,,,Fastly,6,133,1,1,651.00,136.00,646.00,646.00,651.00,5.00,1.00,651.00,650.00,0,1,1,1,,2.00,,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,1,0,256,1,TLS 1.3,False,h2,4865,443,
1,0,Step_1,3,89822.4,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/_next/static/chunks/021ntmz7z_akk.css,/_next/static/chunks/021ntmz7z_akk.css,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Stylesheet,441.00,438.00,666.00,666.00,999,999,3742,,"public, max-age=31536000, immutable",text/css,gzip,144,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://workspaceweb-toolify-production.up.railway.app/,0,,,parser,Highest,Highest,2062,100,100,100,0,100,-1,-1.00,-1.00,-1.00,1091,0,,,"31,536,000.00",Fastly,662,161,0,0,"1,107.00",666.00,"1,104.00","1,104.00","1,107.00",3.00,666.00,"1,107.00",441.00,1,2,,,,,blocking,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,3,0,256,1,,,,,443,
1,0,Step_1,3,89822.5,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/_next/static/chunks/09l~xromha.2l.css,/_next/static/chunks/09l~xromha.2l.css,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Stylesheet,392.00,193.00,667.00,667.00,21697,21697,134653,,"public, max-age=31536000, immutable",text/css,gzip,144,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://workspaceweb-toolify-production.up.railway.app/,0,,,parser,Highest,Highest,2062,100,100,100,0,100,-1,-1.00,-1.00,-1.00,21903,0,,,"31,536,000.00",Fastly,666,167,0,0,"1,059.00",667.00,860.00,860.00,"1,059.00",199.00,667.00,"1,059.00",392.00,2,3,,,,,blocking,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,5,3,256,1,,,,,443,
1,0,Step_1,3,89822.2,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2,/_next/static/media/83afe278b6a6bb3c-s.p.0q-301v4kxxnr.woff2,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Font,720.00,410.00,669.00,669.00,48432,48432,48432,,"public, max-age=31536000, immutable",font/woff2,,144,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://workspaceweb-toolify-production.up.railway.app/,0,,,parser,Highest,High,2269,100,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,"31,536,000.00",Fastly,657,149,0,0,"1,389.00",669.00,"1,079.00","1,079.00","1,389.00",310.00,669.00,"1,389.00",720.00,3,4,,,,,non_blocking,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,7,5,220,1,,,,,443,
1,0,Step_1,3,89822.3,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/_next/static/media/fba5a26ea33df6a3-s.p.0eehd8tgys7nv.woff2,/_next/static/media/fba5a26ea33df6a3-s.p.0eehd8tgys7nv.woff2,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Font,517.00,331.00,669.00,669.00,27272,27272,27272,,"public, max-age=31536000, immutable",font/woff2,,144,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://workspaceweb-toolify-production.up.railway.app/,0,,,parser,Highest,High,2269,100,100,-1,0,100,-1,-1.00,-1.00,-1.00,,,,,"31,536,000.00",Fastly,660,155,0,0,"1,186.00",669.00,"1,000.00","1,000.00","1,186.00",186.00,669.00,"1,186.00",517.00,4,5,,,,,non_blocking,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,9,7,220,1,,,,,443,
1,0,Step_1,3,89822.6,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/_next/static/chunks/0pizh8x7grygk.js,/_next/static/chunks/0pizh8x7grygk.js,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Script,384.00,367.00,691.00,691.00,9398,9398,32575,,"public, max-age=31536000, immutable",application/javascript,gzip,144,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://workspaceweb-toolify-production.up.railway.app/,0,,,parser,Low,Low,1966,100,100,100,0,100,-1,-1.00,-1.00,-1.00,9510,0,,,"31,536,000.00",Fastly,673,177,0,0,"1,075.00",691.00,"1,058.00","1,058.00","1,075.00",17.00,691.00,"1,075.00",384.00,5,6,1,1,,2.00,non_blocking,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,11,9,147,1,,,,,443,
1,0,Step_1,3,89822.7,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/_next/static/chunks/0q49o014uafvi.js,/_next/static/chunks/0q49o014uafvi.js,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Script,431.00,417.00,691.00,691.00,9235,9235,44418,,"public, max-age=31536000, immutable",application/javascript,gzip,144,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://workspaceweb-toolify-production.up.railway.app/,0,,,parser,Low,Low,1966,100,100,100,0,100,-1,-1.00,-1.00,-1.00,9350,0,,,"31,536,000.00",Fastly,677,183,0,0,"1,122.00",691.00,"1,108.00","1,108.00","1,122.00",14.00,691.00,"1,122.00",431.00,6,7,1,1,,2.00,potentially_blocking,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,13,11,147,1,,,,,443,
1,0,Step_1,3,89822.8,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/_next/static/chunks/0__x0tkmihi7b.js,/_next/static/chunks/0__x0tkmihi7b.js,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Script,761.00,469.00,692.00,692.00,71005,71005,227536,,"public, max-age=31536000, immutable",application/javascript,gzip,144,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://workspaceweb-toolify-production.up.railway.app/,0,,,parser,Low,Low,1966,100,100,100,0,100,-1,-1.00,-1.00,-1.00,71339,0,,,"31,536,000.00",Fastly,679,189,0,0,"1,453.00",692.00,"1,161.00","1,161.00","1,453.00",292.00,692.00,"1,453.00",761.00,7,8,34,4,50,88.00,potentially_blocking,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,15,13,147,1,,,,,443,
1,0,Step_1,3,89822.9,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/_next/static/chunks/0.1nke4_alib~.js,/_next/static/chunks/0.1nke4_alib~.js,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Script,678.00,416.00,692.00,692.00,38361,38361,140798,,"public, max-age=31536000, immutable",application/javascript,gzip,144,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://workspaceweb-toolify-production.up.railway.app/,0,,,parser,Low,Low,1966,100,100,100,0,100,-1,-1.00,-1.00,-1.00,38640,0,,,"31,536,000.00",Fastly,681,195,0,0,"1,370.00",692.00,"1,108.00","1,108.00","1,370.00",262.00,692.00,"1,370.00",678.00,8,9,3,3,32,37.00,potentially_blocking,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,17,15,147,1,,,,,443,
1,0,Step_1,3,89822.10,151.101.2.15,https://workspaceweb-toolify-production.up.railway.app/_next/static/chunks/turbopack-0r.ia7-wx7_ii.js,/_next/static/chunks/turbopack-0r.ia7-wx7_ii.js,,1,GET,workspaceweb-toolify-production.up.railway.app,E34A6748A3EBB6C1F2E34DC5A1792D2E,200,Script,411.00,407.00,692.00,692.00,4141,4141,10508,,"public, max-age=31536000, immutable",application/javascript,gzip,144,HTTP/2,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,https://workspaceweb-toolify-production.up.railway.app/,0,,,parser,Low,Low,1996,100,100,100,0,100,-1,-1.00,-1.00,-1.00,4385,0,,,"31,536,000.00",Fastly,683,201,0,0,"1,103.00",692.00,"1,099.00","1,099.00","1,103.00",4.00,692.00,"1,103.00",411.00,9,10,2,0,,2.00,potentially_blocking,https://workspaceweb-toolify-production.up.railway.app <https://workspaceweb-toolify-production.up.railway.app same_site>,19,17,147,1,,,,,443,
